====================================
STT 记录会话
会话ID: 20260106_081857
开始时间: 2026-01-06 08:18:57
====================================

[08:19:29] 听到
[08:20:05] 其实这个缘由呢，是因为在年初呢，我们答应了大家如果点赞购房，我们就会把这些最顶级的电动性能车找回来，给大家拍摄今年的年度价驶人车所以。这一期里面我们特意报销整个赛车。场今天呢我给大家带来的是2025年度从30万到200万的我们认为最佳的驾驶者车没。错这，一全是电动车，因为在网楼大没好一把本年度的驾驶值车评选我们将，会从加速刹车、主观驾驶体验和赛道悬速四个维度全方位的测试他们的驾驶属性像。台三选这台车700，87匹的巴路比亚赛是最大，马力的也就300米，出这个我纠结了很久但是实，际开起来我还是得实这台车呢是我认为它很能代表这个级别的台因为它不仅马。达的那后轮转，向的感觉后更机更大的这，种取向的其实也更喜欢的。所以30万的选手就是来奥
[08:20:06] 其实这个缘由呢是因为在年初呢我们答应了大家如果点赞购房，我们就会把这些最顶级的电动性能车找回来，给大家拍摄今年的年度价驶人车。所以这一期里面我们特意报销整个赛车场。今天呢我给大家带来的是2025年度从30万到200万的我们认为最佳的驾驶者车。没错，这一全是电动车，因为在网楼大没好一把。本年度的驾驶值车评选，我们将会从加速刹车、主观驾驶体验和赛道悬速四个维度全方位的测试他们的驾驶属性。像台三选这台车787匹的巴路比亚赛是最大马力的，也就300米出这个我纠结了很久，但是实际开起来我还是得实。这台车呢是我认为它很能代表这个级别的台。因为它不仅马达的那后轮转向的感觉后更大，这种取向其实更喜欢了。所以30万的选手就是。
[08:20:06] The.
[08:20:09] 那好，那下个级别50万级啊，就是我自己的小米书小了。
[08:20:10] 在we
[08:20:12] 在给转乱，他为什么会在影？应该说如果他不在的话，这期节目没
[08:20:26] 在评论端，他为什么会在你？应该说如果他不在的话，这期节目没办法出，肯定有很多人问他，所以只要谈2025年度的新闻，它一定有小米苏小的存在，而且它还是我们这个赛道最贵的。葛量产车没有之一，不带任何前缀所有的跑性能，油车都打不过这台新。这些天车有点像类主一般的在，如果更贵的车没有打赢它。动机明还没有
[08:20:34] 你把干交他
[08:20:39] 行，今把你从。
[08:20:40] 3
[08:20:49] 看。
[08:20:51] 从前
[08:20:52] 重你是。
[08:20:55] 快点救。
[08:20:56] 跨
[08:20:57] 还花了100
[08:20:59] 花了一百也不是大。
[08:21:02] 不什么会回家。
[08:21:04] 我也是真喜。我问
[08:21:13] 方式
[08:21:14] 有情况是，这就是。
[08:21:19] 这个现来的结果。
[08:21:23] 这前的行为。我。
[08:21:28] 亏多少？
[08:21:33] 国的个把相毒撬
[08:21:35] 国的个别把香同撬来一个不不好用。
[08:21:46] 了住最还。
[08:21:49] 但这个情可不。
[08:21:50] 就
[08:21:51] 条。
[08:22:04] 说。
[08:22:09] Also.
[08:22:16] The.
[08:22:22] 快起跑海怕。我公司是表我
[08:22:23] 快跑是。
[08:22:25] 咬子。
[08:22:29] 把这
[08:22:31] 在挣扎的情况下。
[08:22:38] 这个一。
[08:22:44] 开十台品牌的，这个真是高准备这车不？
[08:22:45] 十台牌的这个真是你高速准备这车不一过，他们跑。
[08:22:52] 和这些
[08:22:54] 这些就是我们需要这些都是的。
[08:22:55] сейчас?
[08:22:57] 你就2000块。
[08:23:05] 把球。
[08:23:12] 哎，还这不聊。
[08:23:14] Thank about.
[08:23:15] Look can
[08:23:16] We.
[08:23:24] 那我不是还。
[08:23:28] 照亮下我们没有这个好牌。今量希
[08:23:33] 我
[08:23:35] What?
[08:23:41] Oh pe.
[08:23:47] 3.5。
[08:23:54] 要这出
[08:23:56] 没有这么出彩的理。
[08:24:04] 这这是我有很平稳的感觉，这个就。
[08:24:14] 就这
[08:24:14] 绝是最惨的想
[08:24:19] 差。
[08:24:21] 而且在
[08:24:23] 那现在电车就是日行设
[08:24:33] 的啊科技都应该。
[08:24:36] 就是能不能靠近科技来扳回你场来，就证明到莲花去加重来变得更
[08:24:37] 就是能不能靠借科技来扳回泥厂来，就证明让棉花去加重，来变得更豪华，更高科技，是不是一个对的？
[08:24:38] 就是能不能靠借科技来扳回泥厂，来就证明让棉花去加重，来变得更豪华、更高科技，是不是一个对的呢？
[08:24:43] 看看小米能不能挽证吧，我觉得不要去超过保时捷，超过八就我。
[08:24:45] 二点
[08:24:47] 2.6还可以啊，这个速度，那这顶级的比呢还是有明显的差
[08:24:53] 2.6还可以啊，这个速度那跟顶级的比呢还是有明显的差距。小米的这个电控呢明显就远不如保时捷了，它是挨着滑收，开着滑收，而保时捷呢是一直实时在调的。
[08:24:57] 呃，小米非常保守，就是它永远不希望你打滑，它真的很怕很壮。
[08:25:01] 扎多
[08:25:05] 砸车是五了，砸车的30。好是
[08:25:07] 砸车是砸车，在30。好是小米的一句
[08:25:08] 砸车是砸车在30号。小老师看了一。
[08:25:14] 但无论是刹车还是加速，呢它其实就是按照原车来标定在电控系统这块，这两车的差别是非常非常大。所以说如果你想要跑出好的加速刹
[08:25:31] 但无论是刹车还是加速，呢它其实就是按照原车来标定在电控系统这块，这两车差别是非常非常大所。以说如果你想要跑出好的加速刹车用容的话呢你，得上它那个贵10万块的金版才会，有这个效果再格么那抵嘛，我你本不这个我哋今呢个价位最好都冇啦，佢就系冇嚟我4
[08:25:32] 但无论是刹车还是加速呢，它其实就是按照原车来标定。在电控系统这块，这两车差别是非常非常大。所以说如果你想要跑出好的加速刹车用容的话呢，你得上它那个贵10万块的金版才会有这个效果。
[08:25:39] Ok这个还是也很简单。

====================================
结束时间: 2026-01-06 08:25:55
====================================
